5 è˝ SASA,ave con/,‰ %s = ave,INVALIDS (all contacts=Hbonds+vdw),,,,,,Backbone all contacts,,,,ave,Side Chain all contacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% resisues,#HeavyAtm,contact/res,Res Count,Res,N,ave,CA,ave,C,ave,O,ave,bb,CB,ave,CG ,ave,,count,ave,CD,ave,,count,ave,,count,ave,,count,ave,,,count,ave,,,count,ave,,,count,ave,,,count,ave,,,count,ave
1.325614565,1.323839662,7.943037975,158,CYS,79,0.5,171,1.082278481,24,0.151898734,28,0.17721519,1.911392405,359,2.272151899,,,SG,594,3.759493671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.950079705,1.019915254,4.079661017,590,GLY,713,1.208474576,848,1.437288136,410,0.694915254,436,0.738983051,4.079661017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.451883547,0.828218466,8.282184655,769,HIS,187,0.243172952,276,0.358907672,157,0.204161248,141,0.183355007,0.989596879,373,0.485045514,327,0.425227568,,,,1001,1.301690507,ND1,727,0.945383615,,,,CE,1368,1.77893368,,NE2,1812,2.356306892,,,,,,,,,,,,,,,,
5.319238191,0.778654048,4.67192429,634,SER,396,0.624605678,413,0.651419558,223,0.351735016,280,0.441640379,2.069400631,752,1.186119874,,,OG,898,1.416403785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.872975921,0.770714286,6.165714286,700,ASN,259,0.37,245,0.35,177,0.252857143,261,0.372857143,1.345714286,465,0.664285714,765,1.092857143,,,,,,OD1,731,1.044285714,ND2,1413,2.018571429,,,,,,,,,,,,,,,,,,,,,,,
5.143048913,0.666045211,4.662316476,613,THR,365,0.5954323,295,0.481239804,192,0.313213703,265,0.432300163,1.822185971,468,0.763458401,406,0.662316476,OG1,867,1.414355628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.397936068,0.65037037,3.251851852,405,ALA,208,0.513580247,225,0.555555556,151,0.372839506,230,0.567901235,2.009876543,503,1.241975309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.562547194,0.581447964,4.65158371,663,ASP,331,0.499245852,266,0.401206637,190,0.286576169,271,0.408748115,1.595776772,391,0.58974359,458,0.690799397,,,,,,OD1,607,0.915535445,OD2,570,0.859728507,,,,,,,,,,,,,,,,,,,,,,,
2.626059233,0.572797809,8.019169329,313,TRP,62,0.198083067,58,0.185303514,42,0.134185304,123,0.392971246,0.910543131,140,0.447284345,134,0.428115016,,,,206,0.658146965,CD2,177,0.565495208,,,,NE1,410,1.309904153,,CE2,228,0.728434505,,CE3,191,0.610223642,,CZ2,241,0.769968051,,CZ3,258,0.82428115,,CH2,240,0.766773163
14.58176021,0.562611152,6.18872267,1738,ARG,381,0.219217491,316,0.181818182,202,0.116225547,325,0.186996548,0.704257768,497,0.285960875,532,0.306098964,,,,810,0.466052934,,,,,,,NE,1256,0.722669735,,CZ,1708,0.98273878,,NH1,2052,1.180667434,,NH2,2677,1.54027618,,,,,,,,
6.200184579,0.50202977,4.51826793,739,GLU,300,0.405953992,274,0.370771313,162,0.219215156,219,0.296346414,1.292286874,306,0.414073072,294,0.397834912,,,,472,0.638700947,,,,,,,OE1,599,0.810554804,,OE2,713,0.964817321,,,,,,,,,,,,,,,,
3.993623626,0.50140056,4.512605042,476,GLN,197,0.413865546,146,0.306722689,86,0.180672269,159,0.334033613,1.235294118,226,0.474789916,251,0.527310924,,,,267,0.56092437,,,,,,,OE1,325,0.682773109,,NE2,491,1.031512605,,,,,,,,,,,,,,,,
1.879352295,0.499441964,3.995535714,224,MET,110,0.491071429,90,0.401785714,61,0.272321429,58,0.258928571,1.424107143,134,0.598214286,110,0.491071429,,,,,,SD,156,0.696428571,,,,CE,176,0.785714286,,,,,,,,,,,,,,,,,,,,
7.928517493,0.488300999,4.394708995,945,LYS,306,0.323809524,234,0.247619048,166,0.175661376,220,0.232804233,0.97989418,344,0.364021164,236,0.24973545,,,,503,0.532275132,,,,,,,CE,770,0.814814815,,NZ,1374,1.453968254,,,,,,,,,,,,,,,,
4.220152697,0.451860267,3.163021869,503,PRO,111,0.220675944,224,0.445328032,176,0.349900596,213,0.423459245,1.439363817,283,0.562624254,285,0.566600398,,,,299,0.5944334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.926503901,0.451048951,4.961538462,468,PHE,147,0.314102564,127,0.271367521,106,0.226495726,187,0.39957265,1.211538462,222,0.474358974,130,0.277777778,,,,254,0.542735043,CD2,190,0.405982906,,,,CE,367,0.784188034,,CE2,265,0.566239316,,CZ,327,0.698717949,,,,,,,,,,,,
5.361188019,0.428403756,5.14084507,639,TYR,104,0.162754304,111,0.17370892,109,0.17057903,190,0.297339593,0.804381847,210,0.328638498,137,0.214397496,,,,207,0.323943662,CD2,222,0.34741784,,,,CE,457,0.715179969,,CE2,353,0.552425665,,CZ,435,0.680751174,,OH,750,1.17370892,,,,,,,,
2.735128786,0.413672217,2.895705521,326,VAL,61,0.187116564,68,0.208588957,60,0.18404908,147,0.450920245,1.030674847,79,0.242331288,280,0.858895706,CG2,249,0.763803681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.137847135,0.404745989,3.237967914,374,ILE,138,0.368983957,86,0.229946524,70,0.187165775,136,0.363636364,1.14973262,104,0.278074866,153,0.409090909,CG2,218,0.582887701,306,0.818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.386357916,0.364680685,2.917445483,642,LEU,176,0.274143302,132,0.205607477,114,0.177570093,249,0.387850467,1.04517134,197,0.306853583,98,0.152647975,,,,444,0.691588785,CD2,463,0.721183801,,,,,,,,,,,,,,,,,,,,,,,,,,
