,ave con/,ä %s = ave,VALIDS (all contacts=Hbonds+vdw),,,,,,Backbone all contacts,,,,ave,Side Chain all contacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% resisues,#HeavyAtm,contact/res,Res Count,Res,N,ave,CA,ave,C,ave,O,ave,bb,CB,ave,CG ,ave,,count,ave,CD,ave,,count,ave,,count,ave,,count,ave,,,count,ave,,,count,ave,,,count,ave,,,count,ave,,,count,ave
11.14147551,1.322148263,5.288593052,10967,GLY,15543,1.417251755,21658,1.974833592,10612,0.967630163,10187,0.928877542,5.288593052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.629823029,0.960644601,5.763867606,6526,SER,5172,0.792522219,4596,0.704259884,2694,0.412810297,3535,0.541679436,2.451271836,8271,1.267391971,,,OG,13347,2.0452038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.731759351,0.884859093,7.07887274,5642,ASP,1885,0.334101382,2212,0.392059553,1525,0.270294222,1640,0.290677065,1.287132223,2164,0.383551932,7456,1.321517192,,,,,,OD1,10877,1.92786246,OD2,12180,2.158808933,,,,,,,,,,,,,,,,,,,,,,,
6.26307983,0.823288147,5.763017032,6165,THR,4263,0.691484185,3131,0.507866991,2037,0.330413625,3193,0.517923763,2.047688564,5601,0.908515815,6225,1.00973236,OG1,11079,1.797080292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.078184367,0.815142905,4.075714524,5983,ALA,4619,0.772020725,3753,0.627277286,2481,0.414674912,4248,0.7100117,2.523984623,9284,1.551729901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.721965987,0.777679449,4.666076696,1695,CYS,835,0.492625369,1013,0.597640118,787,0.464306785,1341,0.791150442,2.345722714,1518,0.895575221,,,SG,2415,1.424778761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.683341122,0.774322126,6.194577007,4610,ASN,1950,0.422993492,1511,0.327765727,1284,0.278524946,2076,0.45032538,1.479609544,2473,0.536442516,4309,0.934707158,,,,,,OD1,6238,1.353145336,ND2,8716,1.890672451,,,,,,,,,,,,,,,,,,,,,,,
6.718207124,0.765654427,8.4221987,6613,ARG,2120,0.320580674,1553,0.234840466,1042,0.157568426,1340,0.202631181,0.915620747,2515,0.380311508,2817,0.425979132,,,,4683,0.708150612,,,,,,,NE,6538,0.988658703,,CZ,8813,1.332678058,,NH1,10723,1.6215031,,NH2,13552,2.04929684,,,,,,,,
4.492350204,0.746871702,6.721845319,4422,LYS,2829,0.639755767,1757,0.397331524,915,0.206919946,962,0.217548621,1.461555857,1983,0.44843962,2168,0.490275893,,,,2467,0.557892356,,,,,,,CE,5935,1.342152872,,NZ,10708,2.42152872,,,,,,,,,,,,,,,,
2.827275129,0.702159939,6.319439454,2783,GLN,875,0.314408911,871,0.312971613,649,0.233201581,1038,0.3729788,1.233560905,1219,0.438016529,1562,0.561264822,,,,2735,0.982752425,,,,,,,OE1,4227,1.518864535,,NE2,4411,1.584980237,,,,,,,,,,,,,,,,
4.293232013,0.699374244,6.294368197,4226,GLU,880,0.208234737,1032,0.244202556,1006,0.238050166,1602,0.379081874,1.069569333,905,0.214150497,1428,0.337908187,,,,4744,1.122574539,,,,,,,OE1,7248,1.715097018,,OE2,7755,1.835068623,,,,,,,,,,,,,,,,
4.527907024,0.688041283,6.880412834,4457,HIS,893,0.200358986,1022,0.229302221,822,0.184428988,1380,0.309625309,0.923715504,1938,0.434821629,1970,0.442001346,,,,4376,0.981826341,ND1,3814,0.855732556,,,,CE,6460,1.44940543,,NE2,7991,1.792910029,,,,,,,,,,,,,,,,
2.403641018,0.650797005,9.111158073,2366,TRP,473,0.199915469,491,0.207523246,465,0.196534235,787,0.33262891,0.93660186,1158,0.489433643,1229,0.519442096,,,,1884,0.796280642,CD2,1590,0.672020287,,,,NE1,2791,1.179628064,,CE2,2258,0.954353339,,CE3,1689,0.71386306,,CZ2,2694,1.1386306,,CZ3,1850,0.781910397,,CH2,2198,0.928994083
5.653534348,0.637002096,7.644025157,5565,TYR,1137,0.204312668,1225,0.220125786,935,0.168014376,1523,0.273674753,0.866127583,2351,0.422461815,2195,0.39442947,,,,3279,0.589218329,CD2,3384,0.608086253,,,,CE,5028,0.903504043,,CE2,4879,0.87672956,,CZ,5316,0.955256065,,OH,11287,2.02821204,,,,,,,,
2.403641018,0.634456889,5.075655114,2366,MET,1191,0.503381234,883,0.373203719,607,0.256551141,1110,0.469146238,1.602282333,1474,0.622992392,1775,0.750211327,,,,,,SD,2237,0.945477599,,,,CE,2732,1.154691462,,,,,,,,,,,,,,,,,,,,
2.815084219,0.622054957,4.354384699,2771,PRO,653,0.235654998,995,0.359076146,1040,0.37531577,2114,0.76290148,1.732948394,1741,0.628293035,2792,1.007578492,,,,2731,0.985564778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.024686592,0.610355475,6.71391023,4946,PHE,1432,0.28952689,1104,0.223210675,1068,0.215932066,2137,0.432066316,1.160735948,2461,0.497573797,2247,0.45430651,,,,3553,0.718358269,CD2,3510,0.709664375,,,,CE,5010,1.012939749,,CE2,4947,1.000202184,,CZ,5738,1.160129397,,,,,,,,,,,,
5.176057053,0.609308846,4.265161923,5095,VAL,2831,0.555642787,1592,0.312463199,1515,0.297350343,3552,0.697154073,1.862610402,1971,0.386849853,4830,0.947988224,CG2,5440,1.067713445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.006400228,0.584035106,4.672280844,4928,ILE,2222,0.450892857,1543,0.313108766,1202,0.243912338,2730,0.553977273,1.561891234,1691,0.343141234,3300,0.669642857,CG2,4804,0.974837662,5533,1.122767857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.408354837,0.534420577,4.275364616,6308,LEU,3004,0.476220672,1829,0.289949271,1930,0.305960685,3744,0.593532023,1.665662651,2634,0.417564997,1955,0.309923906,,,,6273,0.99445149,CD2,5600,0.887761573,,,,,,,,,,,,,,,,,,,,,,,,,,
