,PP864,PP864e2,PP864e3
ALA,0.0458,0.00209764,0.09607
CYS,0.06501,0.0042263,0.27475
ASP,0.0584,0.00341056,0.19918
GLU,0.05173,0.002675993,0.13843
PHE,0.10202,0.01040808,1.06183
GLY,0.05035,0.002535123,0.12764
HIS,0.09091,0.008264628,0.75134
ILE,0.06653,0.004426241,0.29448
LYS,0.0545,0.00297025,0.16188
LEU,0.06268,0.003928782,0.24626
MET,0.09022,0.008139648,0.73436
ASN,0.06215,0.003862623,0.24006
PRO,0.04298,0.00184728,0.07940
GLN,0.0631,0.00398161,0.25124
ARG,0.0817,0.00667489,0.54534
SER,0.05405,0.002921403,0.15790
THR,0.05287,0.002795237,0.14778
VAL,0.06079,0.003695424,0.22464
TRP,0.14201,0.02016684,2.86389
TYR,0.12141,0.014740388,1.78963
